Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1971 Dec  2 1730:01,12/2/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-461,DS-U2-MT No. 1,69.2,1971-105A,1971-105,S05643,5643,47119-109,NIIP-53  LC132/1,AVMDS,1971-105A,2/21/1979,87.6,160,150,4.6922
1971 Dec  3,,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,F,,[Kosmos],Zenit-2M,,1971-F12,1971-F12,F00644,644,7801421-137,NIIP-53  LC43/4,AVMNLJ,1961-015GV,,,,,
1971 Dec  3 1319?,12/3/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,CIS,Kosmos-462,I2P,65.7,1971-106A,1971-106,S05646,5646,Yu22500-09L,NIIP-5   LC90/20,RAEX,1971-106A,4/4/1975,87.9,190,153,N/A
1971 Dec  4 2233,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,F,,AFP-827,CANYON 4,,1971-F13,1971-F13,F00648,648,5503A,CC       LC13,Wire,1961-015GZ,,,,,
1971 Dec  5 1620,,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Diamant B,F,,D-2A Polaire,D-2A Polaire,,1971-F14,1971-F14,F00650,650,No. 4,CSG      Diamant,JCM,1961-015HB,,,,,
1971 Dec  6 0950?,12/6/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-463,Zenit-4M,65,1971-107A,1971-107,S05661,5661,Kh76002-053,NIIP-5   LC31,RAEX,1971-107A,12/11/1971,89.2,293,180,N/A
1971 Dec 10 1100?,12/10/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,CIS,Kosmos-464,Zenit-4M,72.9,1971-108A,1971-108,S05670,5670,7801422-238,NIIP-53  LC43/3,RAEX,1971-108A,12/16/1971,89.2,292,175,N/A
1971 Dec 11 2047:01,12/11/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B-1,S,UK,Ariel 4,UK 4,83,1971-109A,1971-109,S05675,5675,S183C,V        SLC5,VCR,1971-109A,12/12/1978,89.1,234,227,3.4063
1971 Dec 14 1213,12/14/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,US,OPS 7898 P/L 1,POPPY 7 SV1,,1971-110A,1971-110,S05678,5678,568/FTV 2707?,V        SLC1W,JCM,1971-110A,,,,,N/A    NEA
1971 Dec 15 0431?,12/15/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-465,Tsiklon,74,1971-111A,1971-111,S05683,5683,65017-108,NIIP-53  LC132/2,RAEX,1971-111A,,104.8,1005,965,3.771
