Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
,11/27/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV 821,SRV 1110-1,65,1970-040,,A01803,1803,,,,1965-097C,12/8/1965,92.1,549,205,N/A
,11/29/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,CA,Target subsatellite,-,79.8,1970-041,,A01804,1804,,,,1965-098A,,117.6,2641,502,1.0414
,11/29/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,Explorer 31,DME-A,79.8,1965-098B,,S01806,1806,,,,1965-098B,,119.5,2811,504,0.6136
,11/29/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,Target subsatellite,-,79.8,1970-041,,A01806,1806,,,,1965-098B,,119.5,2811,504,0.6136
,11/29/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 829,SRV 1114-1,79.7,1971-022,,A01944,1944,,,,1965-098E,11/7/2001,88.8,228,202,1.0472
,11/29/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 830,SRV 1114-2,79.6,1971-022,,A01951,1951,,,,1965-098G,,108.6,1834,485,0.1077
,12/3/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV 822,SRV 1110-2,51.8,1970-040,,A01809,1809,,,,1965-099B,12/5/1965,88.3,208,171,0.66
,12/9/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 4327-1,SRV-1,80.1,1970-048,,A01816,1816,,,,1965-102A,12/26/1965,90.8,439,186,N/A
,12/10/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4327-2,SRV-2,65,1970-048,,A01818,1818,,,,1965-103B,12/28/1965,88,191,161,N/A
,12/15/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4328-1,SRV-1,28.8,1970-061,,A01839,1839,,,,1965-104A,12/16/1965,89.6,269,260,N/A
,12/17/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4328-2,SRV-2,64.9,1970-061,,A01843,1843,,,,1965-106A,2/15/2002,87,131,120,8.6733
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OSCAR 4,OSCAR 4,26.5,1965-108C,,S01902,1902,,,,1965-108C,4/12/1976,89.2,358,108,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,LES 3,LES 3,26.4,1965-108D,,S01941,1941,,,,1965-108D,4/6/1968,117.8,2983,179,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Kosmos-1465 SS 20,ESO,26.4,1983-049,,A03999,3999,,,,1965-108E,8/21/1969,90.6,420,186,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Spuskaemaya Kapsula,SpK-1,26.2,1987-059,,A04429,4429,,,,1965-108F,12/29/1975,88.9,285,151,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Spacelab Atlas-2,PLT F008/IGLOO (Atlas 2),26.3,1993-023,,A05309,5309,,,,1965-108H,6/21/1989,90.7,453,160,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SEDS 2,SEDS 2 End Mass/Tether,26.4,1994-016,,A05474,5474,,,,1965-108L,2/3/1973,93.9,733,195,N/A
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Spuskaemaya Kapsula,SpK,27.8,1994-042,,A05515,5515,,,,1965-108M,,541.9,30183,1094,0.096
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Spuskaemaya Kapsula,Orlets-2 SpK-20,25.9,1994-053,,A05632,5632,,,,1965-108N,,361.1,20420,419,0.1147
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Mirka,Mirka,26.3,1997-060,,A05998,5998,,,,1965-108T,,481.6,27383,568,0.1085
,12/21/1965,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OV2-3,-,26.6,1965-108V,,S13912,13912,,,,1965-108V,,322.4,18122,272,2.7884
,12/24/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SA Veneri-7,SA,80,1970-060,,A01901,1901,,,,1965-110B,1/6/1966,90.1,380,179,N/A
,12/28/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4329-1,SRV-1,55.9,1970-090,,A01874,1874,,,,1965-112F,5/1/1968,92.9,429,407,N/A
,12/28/1965,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4330-2,SRV-2,56,1971-005,,A01933,1933,,,,1965-112N,7/5/1967,93.2,459,402,N/A
,1/28/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 834,SRV 1116-2,89.9,1972-032,,A02140,2140,,,,1966-005C,,106.9,1324,843,0.05
,1/31/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,ALSEP,ALSEP,,1971-063,,A02001,2001,,,,1966-006D,,,,,0.0051  EM0
,2/3/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1202-2,SRV-2,97.7,1972-002,,A02085,2085,,,,1966-008C,8/28/2002,88.3,205,179,0.0538
,2/11/1966,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,,,CIS,LRV-1,LRV-1,48.8,1971-063,,A02002,2002,,,,1966-011A,11/21/1966,87.9,193,146,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OPS 3011,Bluebell 2 Cylinder,96.5,1966-012B,,S02014,2014,,,,1966-012B,2/17/1966,88.1,200,150,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OPS 3031,Bluebell 2 Sphere,96.5,1966-012C,,S02015,2015,,,,1966-012C,2/22/1966,88.6,268,147,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,Luna-18 VA,VA,95.9,1971-073A,,A02027,2027,,,,1966-012F,2/17/1966,89.2,282,186,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 831,SRV 1115-1,96.3,1971-076,,A02029,2029,,,,1966-012H,2/19/1966,88.7,232,188,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 832,SRV 1115-2,96.5,1971-076,,A02039,2039,,,,1966-012T,2/16/1966,88.1,220,145,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 4333-2,SRV-2,96.3,1971-092,,A02056,2056,,,,1966-012V,2/20/1966,88.4,258,141,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,PROP-M,PROP-M,96.5,1971-045,,A02060,2060,,,,1966-012Z,2/18/1966,89.2,316,160,N/A
,2/15/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,PROP-M,PROP-M,96.1,1971-049,,A02065,2065,,,,1966-012AE,2/19/1966,88.8,252,181,N/A
,2/17/1966,HGSTR,"Hammaguir Launch Site, Algeria",30.875014,-3.065188,,,FR,SRV Mission 4332-1,SRV-1,34.1,1971-070,,A02018,2018,,,,1966-013C,12/4/1967,94.5,555,433,N/A
,2/17/1966,HGSTR,"Hammaguir Launch Site, Algeria",30.875014,-3.065188,,,FR,SRV Mission 4332-2,SRV-2,34,1971-070,,A02020,2020,,,,1966-013D,9/11/1967,95.3,693,377,N/A
,2/19/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,DB-6,Doppler Beacon 6,65,1971-076A,,A02022,2022,,,,1966-014B,2/27/1966,89.1,257,198,N/A
,2/28/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,LRV-3,LRV-3,101.3,1972-096,,A02223,2223,,,,1966-016C,,111.8,1383,1239,0.0689
,2/28/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,ALSEP,ALSEP,101.1,1972-096,,A02224,2224,,,,1966-016D,,115,1563,1348,0.0793
,3/1/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1202-4,SRV-4,52.2,1972-002,,A02095,2095,,,,1966-017C,3/2/1966,88.1,199,163,N/A
,3/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4334-1,SRV-1,28.9,1972-016,,A02104,2104,,,,1966-019A,9/15/1967,88.3,195,189,N/A
,3/17/1966,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,,,CIS,SRV Mission 4334-2,SRV-2,72,1972-016,,A02108,2108,,,,1966-021B,5/17/1966,92.1,548,211,N/A
,3/26/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,Spuskaemaya Kapsula,SpK,89.8,1983-007,,A03590,3590,,,,1966-024E,3/23/1978,94.8,541,473,0.0465
,3/30/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OV1-5,OV1-5S,144.6,1966-025B,,S02122,2122,,,,1966-025B,,105.4,1050,980,0.9735
,3/30/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,S71-3,STP S71-3,144.6,1972-032A,,A02122,2122,,,,1966-025B,,105.4,1050,980,0.9735
,3/31/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,LRV-2,LRV-2,51.8,1972-031,,A02128,2128,,,,1966-027C,4/2/1966,88.3,198,185,N/A
,3/31/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,ALSEP,ALSEP,98.1,1972-031,,A02129,2129,,,,1966-026B,5/11/2002,87.4,152,134,0.8666
,3/31/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SA Veneri-8,SA,98.6,1972-021A,,A02162,2162,,,,1966-026C,2/11/1967,95.5,583,501,N/A
,3/31/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 1203-4,SRV-4,98.5,1972-052,,A02178,2178,,,,1966-026E,1/6/1983,88.8,222,210,0.0493
,4/6/1966,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,,,CIS,SRV 833,SRV 1116-1,73,1972-032,,A02137,2137,,,,1966-028D,4/10/1966,89.8,337,200,N/A
,4/8/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,S71-5,STP S71-5,30.7,1972-039A,,A02143,2143,,,,1966-030B,4/17/1966,89.6,325,182,N/A
,4/8/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV 815R,SRV 1117-1,35,1972-039,,A02145,2145,,,,1966-031C,10/31/1981,89.6,270,243,0.3775
,4/20/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV 816R,SRV 1117-2,65,1972-039,,A02149,2149,,,,1966-033B,4/30/1966,88.2,202,169,N/A
,4/22/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 1204-3,SRV-3,82.2,1972-079,,A02208,2208,,,,1966-034C,1/9/2012,87.8,181,150,0.0042
,4/25/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1203-1,SRV-1,64.9,1972-052,,A02160,2160,,,,1966-035E,4/29/1966,90,390,154,N/A
,5/6/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1203-2,SRV-2,65,1972-052,,A02166,2166,,,,1966-037D,5/8/1966,89.4,295,193,N/A
,5/6/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1203-3,SRV-3,65,1972-052,,A02170,2170,,,,1966-037E,5/16/1966,89.2,271,200,N/A
,5/14/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OPS 6785,P-11 No. 4404,109.9,1966-039B,,S02172,2172,,,,1966-039B,10/27/1970,88.5,199,198,N/A
,5/24/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 4336-1,SRV-1,66,1972-068,,A02181,2181,,,,1966-042A,6/9/1966,88.6,244,167,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4336-2,SRV-2,28.9,1972-068,,A02189,2189,,,,1966-046C,6/5/1966,90.6,346,265,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1204-4,SRV-4,28.7,1972-079,,A02233,2233,,,,1966-046K,6/21/1966,88.2,261,108,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4337-1,SRV-1,28.1,1972-103,,A02240,2240,,,,1966-046S,6/23/1966,90.7,388,233,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Lunokhod-2,8EL No. 204,27.6,1973-001,,A02243,2243,,,,1966-046V,6/21/1966,89.5,282,221,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4337-2,SRV-2,28.8,1972-103,,A02245,2245,,,,1966-046X,6/22/1966,88.7,231,187,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1205-4,SRV-4,28.3,1973-014,,A02270,2270,,,,1966-046AM,7/4/1966,89.4,323,171,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Skylab Airlock Module,Skylab AM,28.6,1973-027,,A02274,2274,,,,1966-046AR,7/4/1966,90.9,432,201,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Multiple Docking Adapter,Skylab MDA,28.8,1973-027,,A02275,2275,,,,1966-046AS,7/4/1966,91.1,426,233,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Apollo Telescope Mount,Skylab ATM,28.7,1973-027,,A02276,2276,,,,1966-046AT,7/4/1966,89.9,306,235,N/A
,6/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4338-1,SRV-1,28.2,1973-028,,A02280,2280,,,,1966-046AX,7/4/1966,90.5,378,224,N/A
,6/8/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1204-1,SRV-1,51.8,1972-079,,A02196,2196,,,,1966-050A,6/16/1966,89.4,286,201,N/A
,6/8/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1204-2,SRV-2,51.8,1972-079,,A02199,2199,,,,1966-050D,6/9/1966,88.6,228,186,N/A
,6/9/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,ERS 16,ORS 2,89.9,1966-051C,,S02202,2202,,,,1966-051C,3/12/1967,89.6,398,112,N/A
,6/9/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,EGRS VI,Secor Type II S/N 7,89.9,1966-051B,,S02205,2205,,,,1966-051B,7/6/1967,89.9,386,151,N/A
,6/10/1966,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,,,US,Kapsula Kosmosa-692,FEU-170 No. 4L,40.6,1974-087,,A02498,2498,,,,1966-052C,,137,4264,582,0.0289
,6/10/1966,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,,,US,SRV Mission 1209-2,SRV-2,41,1974-085,,A02516,2516,,,,1966-052D,,144,4753,695,0.0501
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9311,IDCSP 1,1.6,1966-053B,,S02215,2215,,,,1966-053B,,1334.5,33886,33660,0.1781
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9312,IDCSP 2,1.6,1966-053C,,S02216,2216,,,,1966-053C,,1335.2,33907,33667,0.2925
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9313,IDCSP 3,1.6,1966-053D,,S02217,2217,,,,1966-053D,,1336.4,33946,33676,0.1
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9314,IDCSP 4,1.5,1966-053E,,S02218,2218,,,,1966-053E,,1338.5,34019,33687,0.2152
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9315,IDCSP 5,1.4,1966-053F,,S02219,2219,,,,1966-053F,,1340.8,34105,33695,0.3162
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9316,IDCSP 6,1.3,1966-053G,,S02220,2220,,,,1966-053G,,1343.8,34220,33701,0.2099
,6/16/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OPS 9317,IDCSP 7,1.2,1966-053H,,S02221,2221,,,,1966-053H,,1347.4,34359,33706,0.2512
,6/24/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,KSI,KSI,86.9,1973-017,,A02256,2256,,,,1966-056C,,181.4,4282,4193,1.228
,6/25/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1205-1,SRV-1,64.9,1973-014,,A02254,2254,,,,1966-057A,11/14/1989,88,180,169,15.14
,7/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1205-2,SRV-2,28.8,1973-014,,A02259,2259,,,,1966-058B,11/17/1966,96.3,989,177,N/A
,7/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1205-3,SRV-3,28.8,1973-014,,A02262,2262,,,,1966-058D,9/7/1966,96.5,981,203,N/A
,7/1/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV 1801,SRV Mission 1205-5,28.8,1973-014,,A02263,2263,,,,1966-058E,8/29/1966,99.8,1318,181,N/A
,7/5/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4338-2,SRV-2,32.2,1973-028,,A02299,2299,,,,1966-059E,7/11/1966,89.8,349,182,N/A
,7/5/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Skylab S-150 Experiment,Galactic X-ray Mapping Ex,32.8,1973-050,,A02311,2311,,,,1966-059S,7/16/1966,90,377,176,N/A
,7/5/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1206-1,SRV-1,32.3,1973-046,,A02316,2316,,,,1966-059X,7/16/1966,89.9,342,202,N/A
,7/5/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,Kapsula Kosmosa-596,FEU-170 No. 1L,31.9,1973-070,,A02342,2342,,,,1966-059AE,7/20/1966,89.9,427,113,N/A
,7/12/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 1206-2,SRV-2,95.5,1973-046,,A02322,2322,,,,1966-062A,7/20/1966,88.6,269,137,N/A
,7/12/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 1802,SRV Mission 1206-5,95.5,1973-046,,A02323,2323,,,,1966-062B,7/14/1966,87.9,215,128,N/A
,7/14/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 1206-3,SRV-3,144.3,1973-046,,A02329,2329,,,,1966-063D,,103.8,947,924,0.109
,7/18/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 4340-2,SRV-2,28.9,1973-068,,A02350,2350,,,,1966-066B,7/19/1966,87.9,193,147,N/A
,7/28/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1207-1,SRV-1,51.8,1973-088,,A02368,2368,,,,1966-068A,8/6/1966,90,339,207,N/A
,8/16/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OPS 6810,P-11 No. 4405,93.1,1966-074B,,S02397,2397,,,,1966-074B,3/5/1970,88.1,179,179,0.04
,8/16/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 4341-1,SRV-1,93.3,1974-007,,A02400,2400,,,,1966-074C,8/18/1966,89.2,323,143,N/A
,8/17/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1207-4,SRV-4,,1973-088,,A02398,2398,,,,1966-075A,,,,,N/A    SU0
,8/18/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,S73-7 Cal Balloon,S73-7,88.9,1974-020,,A02413,2413,,,,1966-076B,,106.6,1090,1044,0.6116
,8/18/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,DRAGONSAT Bevo-1,Bevo 1,88.8,2009-038B,,A07558,7558,,,,1966-076E,9/2/1981,93.6,470,427,0.0276
,8/19/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,EGRS VII,Secor Type II S/N 8,90.2,1966-077B,,S02411,2411,,,,1966-077B,,167.5,3717,3659,0.2652
,8/19/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,ERS 15,ERS 15,90.2,1966-077C,,S02412,2412,,,,1966-077C,,167.6,3709,3676,0.3648
,8/27/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4341-2,SRV-2,64.9,1974-007,,A02409,2409,,,,1966-079A,9/4/1966,90,343,207,N/A
,9/16/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,OPS 6874,P-11 No. 4406,94,1966-083B,,S02420,2420,,,,1966-083B,5/9/1968,87.9,183,160,N/A
,9/16/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV Mission 1208-1,SRV-1,93.9,1974-020,,A02423,2423,,,,1966-083C,9/18/1966,89,322,132,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV 1804,SRV Mission 1208-5,49.8,1974-020,,A02444,2444,,,,1966-088H,9/25/1966,93.1,722,131,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1208-3,SRV-3,49.6,1974-020,,A02450,2450,,,,1966-088P,9/26/1966,91.2,539,127,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4342-1,SRV-1,49.1,1974-042,,A02452,2452,,,,1966-088R,10/22/1966,88.5,214,187,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4342-2,SRV-2,49.4,1974-042,,A02459,2459,,,,1966-088Y,10/3/1966,96.4,960,206,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1208-4,SRV-4,49.5,1974-020,,A02461,2461,,,,1966-088AA,9/24/1966,92.9,721,119,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4343-1,SRV-1,50.2,1974-065,,A02478,2478,,,,1966-088AT,9/27/1966,97.5,1099,181,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,KSI,KSI,49.9,1974-046,,A02480,2480,,,,1966-088AV,9/25/1966,95.4,947,125,N/A
,9/17/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4343-2,SRV-2,50,1974-065,,A02484,2484,,,,1966-088AY,2/9/1967,92.4,552,234,N/A
,10/2/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,FSW RV,FSW RV,101.4,1976-117,,A02775,2775,,,,1966-087D,,113.2,1472,1279,0.0782
,10/2/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,Spuskaemaya Kapsula,SpK,101.8,1999-044,,A06213,6213,,,,1966-087E,,110.1,1295,1170,0.0157
,10/5/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,EGRS VIII,Secor Type II S/N 9,89.7,1966-089B,,S02520,2520,,,,1966-089B,,167.7,3710,3677,0.3391
,10/5/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,,,US,SRV 1805,SRV Mission 1209-5,89.7,1974-085,,A02520,2520,,,,1966-089B,,167.7,3710,3677,0.3391
,10/20/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1209-1,SRV-1,64.8,1974-085,,A02505,2505,,,,1966-092C,11/2/1966,90.4,390,195,N/A
,11/2/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4344-1,SRV-1,49.5,1975-032,,A02542,2542,,,,1966-101F,11/21/1966,98.4,1185,180,N/A
,11/2/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 4344-2,SRV-2,49.4,1975-032,,A02557,2557,,,,1966-101W,11/8/1966,104.5,1752,187,N/A
,11/2/1966,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,,,CIS,SRV Mission 1210-1,SRV-1,49.6,1975-051,,A02570,2570,,,,1966-101AE,11/22/1966,90.5,459,134,N/A
,11/3/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1209-3,SRV-3,32.8,1974-085,,A02524,2524,,,,1966-099A,1/9/1967,88.3,191,187,0.39
,11/3/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OV4-1R,OV4-1R,32.8,1966-099B,,S02526,2526,,,,1966-099B,1/5/1967,88.3,194,190,N/A
,11/3/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OV1-6S,OV1-6S,32.8,1966-099C,,S02527,2527,,,,1966-099C,12/31/1966,88.3,192,184,N/A
,11/3/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,OV4-1T,OV4-1T,32.8,1966-099D,,S02528,2528,,,,1966-099D,1/11/1967,88.6,211,200,N/A
,11/11/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV Mission 1210-2,SRV-2,28.9,1975-051,,A02588,2588,,,,1966-104F,12/4/1966,89.1,256,208,N/A
,11/11/1966,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,,,US,SRV 1806,SRV Mission 1210-5,28.8,1975-051,,A02589,2589,,,,1966-104G,12/1/1966,88.8,222,206,N/A
