Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
2000 Feb 3 0926:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,S,Kosmos-2369,Tselina-2,2000-006A,2000-006,S26069,26069,GIK-5    LC45/1,45025-801,NK0004-17,2000-006A,,
2000 Feb 3 2330:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIAS,S,Hispasat 1C,Hispasat 1C,2000-007A,2000-007,S26071,26071,CC       SLC36B,AC-158,Wire,2000-007A,,
2000 Feb 8 2124:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7420-10C,S,Globalstar M063,Globalstar 63,2000-008A,2000-008,S26081,26081,CC       SLC17B,D276,Wire,2000-008A,,
2000 Feb 8 2320:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Gruzovoy Maket,Dummy satellite,2000-009A,2000-009,S26086,26086,GIK-5    LC31,A 15000-079,NK0004-24,2000-009A,,
2000 Jan 21 0103:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,USA 148,DSCS III B-8,2000-001A,2000-001,S26052,26052,CC       SLC36A,AC-138,Wire,2000-001A,,
2000 Jan 25 0104:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 42L,S,Galaxy 10R,Galaxy XR,2000-002A,2000-002,S26056,26056,CSG      ELA2,V126 L494,Wire,2000-002A,,
2000 Jan 25 1645:05,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 3A,S,Zhongxing 22,Feng Huo 1,2000-003A,2000-003,S26058,26058,XSC      LC2,Y4       (60),CALT-PR,2000-003A,,
2000 Jan 27 0303:06,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Minotaur 1,S,Weber-OSCAR-39,JAWSAT,2000-004A,2000-004,S26061,26061,V        SLC8,1,ASUSAT-WWW,2000-004A,,
2000 Jul 12 0456:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K,S,Zvezda,ISS SM 77KSM No. 128-01,2000-037A,2000-037,S26400,26400,GIK-5    LC81/23,398-01,NK0009-02,2000-037A,,
2000 Jul 14 0521:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIAS,S,Echostar VI,Echostar 6,2000-038A,2000-038,S26402,26402,CC       SLC36B,AC-161,Wire,2000-038A,,
2000 Jul 15 1200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,MITA,MITA-NINA,2000-039A,2000-039,S26404,26404,GIK-1    LC132/1,47136-414,NK0009-29,2000-039A,,
2000 Jul 16 0917:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,GPS IIR-5,Navstar GPS SVN 44,2000-040A,2000-040,S26407,26407,CC       SLC17A,D279,Wire,2000-040A,,
2000 Jul 16 1239:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Cluster Samba,Cluster FM7 (C3),2000-041A,2000-041,S26410,26410,GIK-5    LC31,A 15000-069,NK0009-35,2000-041A,,
2000 Jul 19 2009:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Minotaur 1,S,Sindri,Mightysat 2.1,2000-042A,2000-042,S26414,26414,V        SLC8,2,Wire,2000-042A,,
2000 Jul 28 2242:00,SEAL,Sea Launch Platform (mobile),0.1,-154,Zenit-3SL,S,PAS 9,PAS 9,2000-043A,2000-043,S26451,26451,"ODYSSEY,KLA",5?/DM-SL-4L,NK0009-45,2000-043A,,
2000 Jul 4 2344:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-2371,Geizer No. 22L,2000-036A,2000-036,S26394,26394,GIK-5    LC200/39,389-02,NK0009-24,2000-036A,,
2000 Jun 24 0028:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Ekspress 3A,Ekspress-A No. 3,2000-031A,2000-031,S26378,26378,GIK-5    LC200/39,394-02,NK0008-23,2000-031A,,
2000 Jun 25 1150:00,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 3,S,Feng Yun 2B,Feng Yun Er Yi,2000-032A,2000-032,S26382,26382,XSC      LC3?,Y12      (61),CALT-WWW,2000-032A,,
2000 Jun 28 1037:42,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Nadezhda,Nadezhda 17F118 No. 701,2000-033A,2000-033,S26384,26384,GIK-1    LC132/1,53752-105,NK0008-25,2000-033A,,
2000 Jun 30 1256:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,TDRS 8,TDRS H,2000-034A,2000-034,S26388,26388,CC       SLC36A,AC-139,Wire,2000-034A,,
2000 Jun 30 2208:47,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Sirius FM-1,Sirius CD Radio 1,2000-035A,2000-035,S26390,26390,GIK-5    LC81/24,400-01,NK0008-35,2000-035A,,
2000 Jun 6 0259:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/Briz-M,S,Gorizont,Gorizont No. 45L,2000-029A,2000-029,S26372,26372,GIK-5    LC81/24,392-01/88502,NK0008-16,2000-029A,,
2000 Jun 7 1319:30,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Pegasus XL,S,TSX-5,TSX-5,2000-030A,2000-030,S26374,26374,"L-1011,V RW30/12  -> PAWA",F29,Wire,2000-030A,,
2000 Mar 12 0407:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Ekspress 6A,Ekspress A No. 2,2000-013A,2000-013,S26098,26098,GIK-5    LC200/39,399-01,NK0005-20,2000-013A,,
2000 Mar 12 0929:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Taurus 1110,S,MTI,MTI,2000-014A,2000-014,S26102,26102,V        576E,T5,Wire,2000-014A,,
2000 Mar 12 1449:15,SEAL,Sea Launch Platform (mobile),0.1,-154,Zenit-3SL,F,ICO F1,ICO F1,2000-F02,2000-F02,F01266,1266,"ODYSSEY,KLA",2L/DM-SL-2L,Wire,1965-012FG,,
2000 Mar 20 1828:30,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Dumsat,Dumsat,2000-015A,2000-015,S26106,26106,GIK-5    LC31,A 15000-068,NK0005-27,2000-015A,,
2000 Mar 21 2328:19,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 5G,S,Asiastar,Asiastar,2000-016A,2000-016,S26107,26107,CSG      ELA3,V128 (505),AE-TV,2000-016A,,
2000 Mar 25 2034:43,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 7326-9.5,S,IMAGE,IMAGE,2000-017A,2000-017,S26113,26113,V        SLC2W,D277,Wire,2000-017A,,
2000 May 11 0148:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,GPS IIR-4,Navstar GPS SVN 51,2000-025A,2000-025,S26360,26360,CC       SLC17A,D278,Wire,2000-025A,,
2000 May 16 0827:41,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Rokot,S,IKA-1,EPN 813IP/003 (Iridium),2000-026A,2000-026,S26365,26365,GIK-1    LC133,-           /72,Eurockot-WWW,2000-026A,,
2000 May 19 1011:10,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Atlantis (STS-101),OV-104,2000-027A,2000-027,S26368,26368,KSC      LC39A,STS-101,Wire,2000-027A,Space Shuttle,
2000 May 24 2310:05,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas 3A,S,Eutelsat W4,Eutelsat W4,2000-028A,2000-028,S26369,26369,CC       SLC36B,AC-201,Wire,2000-028A,,
2000 May 3 0707:03,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,GOES 11,GOES L,2000-022A,2000-022,S26352,26352,CC       SLC36A,AC-137,Wire,2000-022A,,
2000 May 3 1325:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Kosmos-2370,Neman,2000-023A,2000-023,S26354,26354,GIK-5    LC1,A 15000-649,NK0007-32,2000-023A,,
2000 May 8 1601:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Titan 402B/IUS,S,DSP F20,DSP 18?,2000-024A,2000-024,S26356,26356,CC       LC40,4B-29,Wire,2000-024A,,
2000 Nov 10 1714:02,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,GPS IIR-6,Navstar GPS SVN 41,2000-071A,2000-071,S26605,26605,CC       SLC17A,D281,Wire,2000-071A,,
2000 Nov 16 0107:07,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 5G,S,PAS 1R,PAS 1R,2000-072A,2000-072,S26608,26608,CSG      ELA3,V135 (507),AE-TV,2000-072A,,
2000 Nov 16 0132:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Progress M1-4,Progress M1 No. 253,2000-073A,2000-073,S26615,26615,GIK-5    LC1,K 15000-671,NK0101-02,2000-073A,,
2000 Nov 20 2300:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,QuickBird 1,QuickBird 1,2000-074A,2000-074,S26617,26617,GIK-1    LC132/1,47165-631,NK0101-21,2000-074A,,
2000 Nov 21 1824:25,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 7320-10,S,EO-1,Earth Orbiter 1,2000-075A,2000-075,S26619,26619,V        SLC2W,D282,Wire,2000-075A,,
2000 Nov 21 2356:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,Anik F1,Anik F1,2000-076A,2000-076,S26624,26624,CSG      ELA2,V136 L4102,Wire,2000-076A,,
2000 Nov 30 1959:47,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Sirius FM-3,Sirius CD Radio 3,2000-077A,2000-077,S26626,26626,GIK-5    LC81/23,402-02,NK0101-31,2000-077A,,
2000 Oct 1 2200:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,GE-1A,GE-1A,2000-059A,2000-059,S26554,26554,GIK-5    LC81/23,401-01,NK0012-38,2000-059A,,
2000 Oct 11 2317:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Discovery (STS-92),OV-103,2000-062A,2000-062,S26563,26563,KSC      LC39A,STS-92,Wire,2000-062A,Space Shuttle,
2000 Oct 13 1412:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-2374,Uragan No. 83L,2000-063A,2000-063,S26564,26564,GIK-5    LC81/24,393-01,NK0012-43,2000-063A,,
2000 Oct 16 2127:06,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Progress M-43,Progress 7K-TGM No. 243,2000-064A,2000-064,S26570,26570,GIK-5    LC1,K 15000-085,NK0012-34,2000-064A,,
2000 Oct 20 0040:02,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,USA 153,DSCS III B-11,2000-065A,2000-065,S26575,26575,CC       SLC36A,AC-140 MLV-9,Wire,2000-065A,,
2000 Oct 21 0552:00,SEAL,Sea Launch Platform (mobile),0.1,-154,Zenit-3SL,S,Thuraya 1,Thuraya 1,2000-066A,2000-066,S26578,26578,"ODYSSEY,KLA",6L/DM-SL-6L,Wire,2000-066A,,
2000 Oct 21 2200:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,GE 6,GE 6,2000-067A,2000-067,S26580,26580,GIK-5    LC81/23,402-01,NK0012-38,2000-067A,,
2000 Oct 29 0559:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44LP,S,Europe*Star 1,EuropeStar FM1,2000-068A,2000-068,S26590,26590,CSG      ELA2,V134 L4100,Wire,2000-068A,,
2000 Oct 30 1602:00,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 3A,S,Beidou Daohang Shiyan Wei.,yi ke beidou daohang s.w.,2000-069A,2000-069,S26599,26599,XSC      LC2,Y5?      (63),Wire,2000-069A,,
2000 Oct 31 0752:47,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Soyuz TM-31,Soyuz 7K-STM No. 205,2000-070A,2000-070,S26603,26603,GIK-5    LC1,A 15000-666,NK0012-22,2000-070A,,
2000 Oct 6 2300:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 42L,S,N-SAT-110,Superbird 5,2000-060A,2000-060,S26559,26559,CSG      ELA2,V133 L4099,Wire,2000-060A,,
2000 Oct 9 0538:18,KWAJ,"Omelek Island, Kwajalein Atoll",9.049117,167.743151,Pegasus H,S,HETE 2,HETE 2,2000-061A,2000-061,S26561,26561,"L-1011,KMR RW06/24  -> DZKW",F30/P-35,Wire,2000-061A,,
2000 Sep 1 0325:00,TAISC,"Taiyuan Space Center, China",37.5,112.6,Chang Zheng 4B,S,Zi Yuan 2-1,ziyuan erhao 01 xing,2000-050A,2000-050,S26481,26481,TYSC     LC7,Y3       (62),Wire,2000-050A,,
2000 Sep 14 2254:07,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 5G,S,Astra 2B,Astra 2B,2000-054A,2000-054,S26494,26494,CSG      ELA3,V130 (506),Wire,2000-054A,,
2000 Sep 21 1022:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan II SLV,S,NOAA 16,NOAA L,2000-055A,2000-055,S26536,26536,V        SLC4W,23G-13,Wire,2000-055A,,
2000 Sep 25 1010:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,S,Kosmos-2372,Yenisey,2000-056A,2000-056,S26538,26538,GIK-5    LC45/1,67013-303,NK0011-36,2000-056A,,
2000 Sep 26 1005:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Dnepr,S,Malaysia-OSCAR-46,Tiungsat-1,2000-057A,2000-057,S26545,26545,GIK-5    LC109/95,450-8752-403,NK0011-40,2000-057A,,
2000 Sep 29 0930:15,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Kosmos-2373,Kometa No. 20?,2000-058A,2000-058,S26552,26552,GIK-5    LC31,76023  -462,NK0011-46,2000-058A,,
2000 Sep 5 0943:58,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Sirius FM-2,Sirius CD Radio 2,2000-051A,2000-051,S26483,26483,GIK-5    LC81/23,400-02,NK0011-29,2000-051A,,
2000 Sep 6 2233:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44P,S,Eutelsat W1,Eutelsat W1,2000-052A,2000-052,S26487,26487,CSG      ELA2,V132 L4098,Wire,2000-052A,,
2000 Sep 8 1245:47,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Atlantis (STS-106),OV-104,2000-053A,2000-053,S26489,26489,KSC      LC39B,STS-106,Wire,2000-053A,Space Shuttle,
2001 Apr 18 1013:00,SRILR,"Satish Dhawan Space Centre, India",13.9,80.4,GSLV,S,GSAT-1,GSAT-1,2001-015A,2001-015,S26745,26745,SHAR     PSLV,GSLV-D1,Wire,2001-015A,,
2001 Apr 19 1840:42,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Endeavour (STS-100),OV-105,2001-016A,2001-016,S26747,26747,KSC      LC39A,STS-100,Wire,2001-016A,Space Shuttle,
2001 Apr 28 0737:20,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Soyuz TM-32,Soyuz 7K-STM No. 206,2001-017A,2001-017,S26749,26749,GIK-5    LC1,K 15000-674,NK0106-30,2001-017A,,
2001 Apr 7 0347:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-M/Briz-M,S,Ekran-M,Ekran-M No. 18L,2001-014A,2001-014,S26736,26736,GIK-5    LC81/24,535-01/88503,NK0106-38,2001-014A,,
2001 Apr 7 1502:22,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,Mars Odyssey,2001 Mars Odyssey,2001-013A,2001-013,S26734,26734,CC       SLC17A,D284,Wire,2001-013A,Mars,
2001 Aug 10 2110:14,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Discovery (STS-105),OV-103,2001-035A,2001-035,S26888,26888,KSC      LC39A,STS-105,Wire,2001-035A,Space Shuttle,
2001 Aug 21 0923:54,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Progress M-45,Progress M No. 245,2001-036A,2001-036,S26890,26890,GIK-5    LC1,M 15000-065,NK0110-18,2001-036A,,
2001 Aug 24 2035:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-2379,Oko-1 No. 7124,2001-037A,2001-037,S26892,26892,GIK-5    LC81/24,404-01,NK0110-37,2001-037A,,
2001 Aug 29 0700:00,TANSC,"Tanegashima Space Center, Japan",30.4,131,H-IIA 202,S,LRE,LRE,2001-038A,2001-038,S26898,26898,TNSC     Y,H-IIA-1F,NASDARept112,2001-038A,,
2001 Aug 30 0646:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,INTELSAT 902,INTELSAT 902,2001-039A,2001-039,S26900,26900,CSG      ELA2,V143 L4105,Wire,2001-039A,,
2001 Aug 6 0728:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Titan 402B/IUS,S,DSP F21,DSP,2001-033A,2001-033,S26880,26880,CC       SLC40,4B-31,Wire,2001-033A,,
2001 Aug 8 1613:40,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7326-9.5,S,Genesis,Genesis,2001-034A,2001-034,S26884,26884,CC       SLC17A,D287,Wire,2001-034A,,
2001 Dec 1 1804:44,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-2382,Uragan-M No. 711,2001-053A,2001-053,S26987,26987,GIK-5    LC81/24,405-02,NK0203-35,2001-053A,,
2001 Dec 10 1718:57,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Zenit-2,S,Meteor-3M No. 1,Meteor-3M 17F45 No. 101,2001-056A,2001-056,S27001,27001,GIK-5    LC45/1,45021-101/19L,rosaviakosmos.ru,2001-056A,,
2001 Dec 21 0400:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-2383,US-PU,2001-057A,2001-057,S27053,27053,GIK-5    LC90/20,510-82-802,NK0202-41,2001-057A,,
2001 Dec 28 0324:24,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-2384,Strela-3,2001-058A,2001-058,S27055,27055,GIK-1    LC32/1,670-21-803,NK0202-45,2001-058A,,
2001 Dec 5 2219:28,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Endeavour (STS-108),OV-105,2001-054A,2001-054,S26995,26995,KSC      LC39B,STS-108,Wire,2001-054A,Space Shuttle,
2001 Dec 7 1507:35,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 7920-10,S,Jason,Jason,2001-055A,2001-055,S26997,26997,V        SLC2W,D289,spaceflightnow.com,2001-055A,,
2001 Feb 20 0848:27,SVOBO,"Svobodnyy Launch Complex, Russia",51.4,128.3,Start-1,S,Odin,Odin,2001-007A,2001-007,S26702,26702,GIK-2    LC5,168,Wire,2001-007A,,
2001 Feb 26 0809:35,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Progress M-44,Progress 7K-TGM No. 244,2001-008A,2001-008,S26713,26713,GIK-5    LC1,K 15000-670,NK0104-29,2001-008A,,
2001 Feb 27 2120:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Titan 401B/Centaur,S,Milstar 4,Milstar DFS-4,2001-009A,2001-009,S26715,26715,CC       SLC40,4B-41/TC-22 (K-,Wire,2001-009A,,
2001 Feb 7 2305:10,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,SICRAL 1,SICRAL 1A,2001-005A,2001-005,S26694,26694,CSG      ELA2,V139 L4103,Wire,2001-005A,,
2001 Feb 7 2313:02,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Atlantis (STS-98),OV-104,2001-006A,2001-006,S26698,26698,KSC      LC39A,STS-98,Wire,2001-006A,Space Shuttle,
2001 Jan 10 2209:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44P,S,Turksat 2A,Eurasiasat 1,2001-002A,2001-002,S26666,26666,CSG      ELA2,V137 L4101,Wire,2001-002A,,
2001 Jan 24 0428:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U-PVB,S,Progress M1-5,Progress M1 No. 254,2001-003A,2001-003,S26688,26688,GIK-5    LC1,K 15000-673,NK0103-25,2001-003A,,
2001 Jan 30 0755:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,GPS IIR-7,Navstar GPS SVN 54,2001-004A,2001-004,S26690,26690,CC       SLC17A,D283,Wire,2001-004A,,
2001 Jan 9 1700:03,JSC,"Jiuquan Satellite Launch Center, China",40.6,99.9,Chang Zheng 2F,S,Shenzhou 2,Shenzhou 2 Fanhui Cang,2001-001A,2001-001,S26664,26664,JQ       Pad 921,Y2       (65),Wire,2001-001A,,
2001 Jul 12 0903:59,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Atlantis (STS-104),OV-104,2001-028A,2001-028,S26862,26862,KSC      LC39B,STS-104,Wire,2001-028A,Space Shuttle,
2001 Jul 12 2158:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 5G,F,Artemis,Artemis,2001-029A,2001-029,S26863,26863,CSG      ELA3,V142 (510),Wire,2001-029A,,
2001 Jul 20 0017:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-3,Molniya-3K No. 11?,2001-030A,2001-030,S26867,26867,GIK-1    LC43/4,77045  -686,NK0109-38,2001-030A,,
2001 Jul 23 0723:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIA,S,GOES 12,GOES M,2001-031A,2001-031,S26871,26871,CC       SLC36A,AC-142,Wire,2001-031A,,
2001 Jul 31 0800:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Koronas F,AUOS-SM-KF,2001-032A,2001-032,S26873,26873,GIK-1    LC32/2,510-25-802,NK0109-45,2001-032A,,
2001 Jun 16 0149:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,Astra 2C,Astra 2C,2001-025A,2001-025,S26853,26853,GIK-5    LC81/23,403-02,NK0108-23,2001-025A,,
2001 Jun 19 0441:02,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIAS,S,ICO F2,ICO 2,2001-026A,2001-026,S26857,26857,CC       SLC36B,AC-156,Wire,2001-026A,,
2001 Jun 30 1946:46,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7425-10,S,WMAP,Microwave Anisotropy Prob,2001-027A,2001-027,S26859,26859,CC       SLC17B,D286,Wire,2001-027A,,
2001 Jun 8 1508:42,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-2378,Parus,2001-023A,2001-023,S26818,26818,GIK-1    LC132/1,-,NK0108-21,2001-023A,,
2001 Jun 9 0645:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44L,S,INTELSAT 901,IS-901,2001-024A,2001-024,S26824,26824,CSG      ELA2,V141 L4104,Wire,2001-024A,,
2001 Mar 18 2233:30,SEAL,Sea Launch Platform (mobile),0.1,-154,Zenit-3SL,S,XM-2,XM Radio-2,2001-012A,2001-012,S26724,26724,"ODYSSEY,KLA",7?/DM-SL-5L,Wire,2001-012A,,
2001 Mar 8 1142:09,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Space Shuttle,S,Discovery (STS-102),OV-103,2001-010A,2001-010,S26718,26718,KSC      LC39B,STS-102,Wire,2001-010A,Space Shuttle,
2001 Mar 8 2251:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 5G,S,Eurobird 1,Eurobird,2001-011A,2001-011,S26719,26719,CSG      ELA3,V140 (509),Wire,2001-011A,,
2001 May 15 0111:30,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2M,S,PAS 10,PAS 10,2001-019A,2001-019,S26766,26766,GIK-5    LC81/23,403-01,NK0107-22,2001-019A,,
2001 May 18 1745:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 7925-9.5,S,GeoLITE,GeoLITE,2001-020A,2001-020,S26770,26770,CC       SLC17B,D285,Wire,2001-020A,,
2001 May 20 2232:40,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-FG,S,Progress M1-6,Progress M1 No. 255,2001-021A,2001-021,S26773,26773,GIK-5    LC1,K 15000-001,NK0107-09,2001-021A,,
2001 May 29 1755:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,Kosmos-2377,Kobal't No. 554,2001-022A,2001-022,S26775,26775,GIK-1    LC43/4,77023  -841,NK0107-26,2001-022A,,
2001 May 8 2210:29,SEAL,Sea Launch Platform (mobile),0.1,-154,Zenit-3SL,S,XM-1,XM Radio-1,2001-018A,2001-018,S26761,26761,"ODYSSEY,KLA",9?/DM-SL-7L,Wire,2001-018A,,
2001 Nov 26 1824:12,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-FG,S,Progress M1-7,Progress M1 No. 256,2001-051A,2001-051,S26983,26983,GIK-5    LC1,F 15000-002,NK0201-07,2001-051A,,
2001 Nov 27 0035:00,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 44LP,S,DirecTV-4S,DirecTV-4S,2001-052A,2001-052,S26985,26985,CSG      ELA2,V146 L4107,Wire,2001-052A,,
2001 Oct 11 0232:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas IIAS,S,USA 162,QUASAR 13?,2001-046A,2001-046,S26948,26948,CC       SLC36B,AC-162 MLV-12,Wire,2001-046A,,
2001 Oct 18 1851:26,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 7320-10,S,QuickBird 2,QuickBird,2001-047A,2001-047,S26953,26953,V        SLC2W,D288,spaceflightnow.com,2001-047A,,
