Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1978 Oct 24 1900:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Interkosmos-18,AUOS-Z Mag-IK,1978-099A,1978-099,S11082,11082,NIIP-53  LC132/1,65055-106,NK9521-43,1978-099A,,
1978 Oct 26 0700:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1045,Meteor-2 GVM,1978-100A,1978-100,S11084,11084,NIIP-53  LC32/2,-,RAEX,1978-100A,,
1978 Oct 3 1100:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1033,Fram,1978-089A,1978-089,S11039,11039,NIIP-53  LC43/3,77025  -047,NK96-26-40,1978-089A,,
1978 Oct 3 2309:30,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-4,Progress 7K-TG No. 105,1978-090A,1978-090,S11040,11040,NIIP-5   LC1,Ye15000-152,NK9807-46,1978-090A,,
1978 Oct 30 0523:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Prognoz-7,SO-M No. 507,1978-101A,1978-101,S11088,11088,NIIP-5   LC1,D 15000-173,JCM,1978-101A,,
1978 Oct 4 0349:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1034,Strela-1M,1978-091A,1978-091,S11042,11042,NIIP-53  LC132/1,53782-429,RAEX,1978-091A,,
1978 Oct 6 1530:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1042,Zenit-4MKM,1978-092A,1978-092,S11052,11052,NIIP-53  LC43/3,76038  -715,RAEX,1978-092A,,
1978 Oct 7 0028:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F/SVS,S,Navstar 3,Navstar GPS SVN 3,1978-093A,1978-093,S11054,11054,V        SLC3E,47F,RAE,1978-093A,,
1978 Sep 14 0225:13,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D-1,S,Venera-12,4V-1 No. 361,1978-086A,1978-086,S11025,11025,NIIP-5   LC81/24,296-02,NK9810-25,1978-086A,Venus,
1978 Sep 16 0500:00,KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,Mu-3H,S,Jikiken,EXOS-B,1978-087A,1978-087,S11027,11027,KASC     M,M-3H-3,Asahi780917,1978-087A,,
1978 Sep 19 0805:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1032,Zenit-2M,1978-088A,1978-088,S11029,11029,NIIP-53  LC43/3,77025  -124,RAEX,1978-088A,,
1978 Sep 6 0304:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1030,Oko,1978-083A,1978-083,S11015,11015,NIIP-53  LC43/4,76038  -507,NK9715-48,1978-083A,,
1978 Sep 9 0325:39,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D-1,S,Venera-11,4V-1 No. 360,1978-084A,1978-084,S11020,11020,NIIP-5   LC81/23,296-01,NK9810-25,1978-084A,Venus,
